R,F,M,r_quartile,f_quartile,m_quartile,RFM_Score,customer_class
161,1,215.07,1,0,1,101,频次深耕客户
532,1,47.68,0,0,0,000,流失客户
279,1,129.42,0,0,0,000,流失客户
170,1,242.68,1,0,1,101,频次深耕客户
389,1,243.04,0,0,1,001,新客户
112,1,99.92,1,0,0,100,重要客户预警流失客户
287,2,216.16,0,1,1,011,消费潜力客户
55,1,97.55,1,0,0,100,重要客户预警流失客户
284,1,125.42,0,0,0,000,流失客户
265,1,58.62,0,0,0,000,流失客户
203,1,154.73,1,0,0,100,重要客户预警流失客户
144,1,63.23,1,0,0,100,重要客户预警流失客户
332,3,126.27,0,1,0,010,一般客户
204,1,415.52,1,0,1,101,频次深耕客户
282,2,406.84,0,1,1,011,消费潜力客户
419,1,76.17,0,0,0,000,流失客户
127,1,46.31,1,0,0,100,重要客户预警流失客户
271,1,41.75,0,0,0,000,流失客户
210,1,33.85,1,0,0,100,重要客户预警流失客户
149,1,200.35,1,0,0,100,重要客户预警流失客户
300,1,166.61,0,0,0,000,流失客户
236,1,52.79,0,0,0,000,流失客户
91,1,152.58,1,0,0,100,重要客户预警流失客户
391,1,102.26,0,0,0,000,流失客户
190,1,194.12,1,0,0,100,重要客户预警流失客户
166,1,377.03,1,0,1,101,频次深耕客户
195,1,35.0,1,0,0,100,重要客户预警流失客户
315,1,658.43,0,0,1,001,新客户
437,1,117.94,0,0,0,000,流失客户
38,1,139.88,1,0,0,100,重要客户预警流失客户
283,1,64.28,0,0,0,000,流失客户
286,1,115.36,0,0,0,000,流失客户
421,1,67.83,0,0,0,000,流失客户
28,1,206.5,1,0,1,101,频次深耕客户
371,1,271.54,0,0,1,001,新客户
323,1,468.91,0,0,1,001,新客户
192,1,73.03,1,0,0,100,重要客户预警流失客户
137,1,70.36,1,0,0,100,重要客户预警流失客户
47,1,85.58,1,0,0,100,重要客户预警流失客户
246,1,37.77,0,0,0,000,流失客户
143,1,162.04,1,0,0,100,重要客户预警流失客户
160,1,46.22,1,0,0,100,重要客户预警流失客户
232,1,670.99,0,0,1,001,新客户
289,1,86.15,0,0,0,000,流失客户
337,1,51.27,0,0,0,000,流失客户
319,1,44.85,0,0,0,000,流失客户
22,1,40.28,1,0,0,100,重要客户预警流失客户
265,1,414.86,0,0,1,001,新客户
315,1,61.59,0,0,0,000,流失客户
442,1,83.5,0,0,0,000,流失客户
13,1,33.62,1,0,0,100,重要客户预警流失客户
84,1,80.15,1,0,0,100,重要客户预警流失客户
225,1,411.21,0,0,1,001,新客户
537,2,318.24,0,1,1,011,消费潜力客户
508,1,114.77,0,0,0,000,流失客户
197,1,75.85,1,0,0,100,重要客户预警流失客户
119,2,250.88,1,1,1,111,重要价值客户
83,1,67.06,1,0,0,100,重要客户预警流失客户
287,1,71.74,0,0,0,000,流失客户
104,1,36.39,1,0,0,100,重要客户预警流失客户
161,2,381.28,1,1,1,111,重要价值客户
206,1,45.0,1,0,0,100,重要客户预警流失客户
185,1,165.48,1,0,0,100,重要客户预警流失客户
202,1,56.84,1,0,0,100,重要客户预警流失客户
582,1,35.95,0,0,0,000,流失客户
141,1,87.54,1,0,0,100,重要客户预警流失客户
203,1,131.26,1,0,0,100,重要客户预警流失客户
37,1,148.7,1,0,0,100,重要客户预警流失客户
40,1,161.37,1,0,0,100,重要客户预警流失客户
405,1,76.78,0,0,0,000,流失客户
253,3,147.44,0,1,0,010,一般客户
285,1,268.83,0,0,1,001,新客户
240,1,54.98,0,0,0,000,流失客户
432,1,170.13,0,0,0,000,流失客户
34,1,32.24,1,0,0,100,重要客户预警流失客户
278,1,131.46,0,0,0,000,流失客户
317,1,811.77,0,0,1,001,新客户
473,1,68.3,0,0,0,000,流失客户
38,2,291.9,1,1,1,111,重要价值客户
246,1,65.79,0,0,0,000,流失客户
384,3,1328.22,0,1,1,011,消费潜力客户
396,1,124.33,0,0,0,000,流失客户
265,1,215.07,0,0,1,001,新客户
429,1,135.21,0,0,0,000,流失客户
261,1,28.0,0,0,0,000,流失客户
287,1,166.8,0,0,0,000,流失客户
68,1,103.61,1,0,0,100,重要客户预警流失客户
107,1,98.09,1,0,0,100,重要客户预警流失客户
92,1,905.93,1,0,1,101,频次深耕客户
208,1,50.07,1,0,0,100,重要客户预警流失客户
323,1,358.5,0,0,1,001,新客户
13,6,1022.15,1,1,1,111,重要价值客户
24,1,121.62,1,0,0,100,重要客户预警流失客户
290,1,954.85,0,0,1,001,新客户
490,1,182.94,0,0,0,000,流失客户
535,2,444.84,0,1,1,011,消费潜力客户
215,2,220.88,1,1,1,111,重要价值客户
418,2,230.72,0,1,1,011,消费潜力客户
277,4,730.88,0,1,1,011,消费潜力客户
187,2,220.0,1,1,1,111,重要价值客户
330,1,34.84,0,0,0,000,流失客户
542,1,78.91,0,0,0,000,流失客户
59,1,53.15,1,0,0,100,重要客户预警流失客户
293,1,77.71,0,0,0,000,流失客户
33,2,479.0,1,1,1,111,重要价值客户
471,1,110.77,0,0,0,000,流失客户
223,1,189.37,0,0,0,000,流失客户
71,1,99.74,1,0,0,100,重要客户预警流失客户
327,1,113.62,0,0,0,000,流失客户
224,1,65.64,0,0,0,000,流失客户
413,1,36.78,0,0,0,000,流失客户
55,1,162.9,1,0,0,100,重要客户预警流失客户
250,1,137.99,0,0,0,000,流失客户
267,1,112.89,0,0,0,000,流失客户
167,1,27.79,1,0,0,100,重要客户预警流失客户
211,1,75.07,1,0,0,100,重要客户预警流失客户
286,1,195.91,0,0,0,000,流失客户
268,1,1082.66,0,0,1,001,新客户
37,2,314.08000000000004,1,1,1,111,重要价值客户
21,1,194.37,1,0,0,100,重要客户预警流失客户
87,1,118.25,1,0,0,100,重要客户预警流失客户
244,1,36.35,0,0,0,000,流失客户
108,1,68.28,1,0,0,100,重要客户预警流失客户
406,1,115.32,0,0,0,000,流失客户
107,1,515.94,1,0,1,101,频次深耕客户
127,1,144.58,1,0,0,100,重要客户预警流失客户
295,1,206.87,0,0,1,001,新客户
5,2,133.36,1,1,0,110,高消费唤醒客户
138,2,446.0,1,1,1,111,重要价值客户
156,1,195.63,1,0,0,100,重要客户预警流失客户
11,1,114.65,1,0,0,100,重要客户预警流失客户
14,1,92.28,1,0,0,100,重要客户预警流失客户
166,1,322.17,1,0,1,101,频次深耕客户
222,1,83.22,0,0,0,000,流失客户
63,2,374.3,1,1,1,111,重要价值客户
410,1,92.57,0,0,0,000,流失客户
139,1,163.95,1,0,0,100,重要客户预警流失客户
184,1,95.22,1,0,0,100,重要客户预警流失客户
329,1,61.01,0,0,0,000,流失客户
237,1,53.99,0,0,0,000,流失客户
8,1,162.12,1,0,0,100,重要客户预警流失客户
162,1,29.69,1,0,0,100,重要客户预警流失客户
478,1,29.77,0,0,0,000,流失客户
182,1,215.14,1,0,1,101,频次深耕客户
383,1,32.77,0,0,0,000,流失客户
8,2,155.94,1,1,0,110,高消费唤醒客户
72,7,3436.0699999999997,1,1,1,111,重要价值客户
138,1,46.96,1,0,0,100,重要客户预警流失客户
349,1,116.45,0,0,0,000,流失客户
242,1,114.44,0,0,0,000,流失客户
322,1,124.99,0,0,0,000,流失客户
28,1,497.54,1,0,1,101,频次深耕客户
160,1,146.83,1,0,0,100,重要客户预警流失客户
580,1,429.19,0,0,1,001,新客户
73,1,149.0,1,0,0,100,重要客户预警流失客户
41,1,34.95,1,0,0,100,重要客户预警流失客户
42,1,98.56,1,0,0,100,重要客户预警流失客户
232,1,323.68,0,0,1,001,新客户
318,1,320.58,0,0,1,001,新客户
338,1,64.24,0,0,0,000,流失客户
16,1,46.26,1,0,0,100,重要客户预警流失客户
105,1,170.54,1,0,0,100,重要客户预警流失客户
350,1,43.0,0,0,0,000,流失客户
63,1,80.63,1,0,0,100,重要客户预警流失客户
198,1,201.84,1,0,1,101,频次深耕客户
202,1,31.38,1,0,0,100,重要客户预警流失客户
128,1,92.97,1,0,0,100,重要客户预警流失客户
259,1,125.52,0,0,0,000,流失客户
375,1,73.43,0,0,0,000,流失客户
274,1,125.42,0,0,0,000,流失客户
326,1,163.97,0,0,0,000,流失客户
164,1,47.64,1,0,0,100,重要客户预警流失客户
13,1,140.53,1,0,0,100,重要客户预警流失客户
211,1,98.62,1,0,0,100,重要客户预警流失客户
100,1,313.6,1,0,1,101,频次深耕客户
273,1,59.4,0,0,0,000,流失客户
113,1,314.53,1,0,1,101,频次深耕客户
47,1,244.34,1,0,1,101,频次深耕客户
154,1,97.87,1,0,0,100,重要客户预警流失客户
250,1,211.83,0,0,1,001,新客户
110,1,86.96,1,0,0,100,重要客户预警流失客户
370,1,161.23,0,0,0,000,流失客户
343,1,35.09,0,0,0,000,流失客户
48,1,241.93,1,0,1,101,频次深耕客户
1,1,22.38,1,0,0,100,重要客户预警流失客户
538,1,63.52,0,0,0,000,流失客户
196,2,80.14,1,1,0,110,高消费唤醒客户
231,1,41.54,0,0,0,000,流失客户
41,1,233.87,1,0,1,101,频次深耕客户
53,1,47.91,1,0,0,100,重要客户预警流失客户
19,1,75.68,1,0,0,100,重要客户预警流失客户
460,1,184.99,0,0,0,000,流失客户
101,1,148.78,1,0,0,100,重要客户预警流失客户
546,1,71.71,0,0,0,000,流失客户
184,2,353.36,1,1,1,111,重要价值客户
246,1,51.14,0,0,0,000,流失客户
27,1,892.75,1,0,1,101,频次深耕客户
538,1,84.2,0,0,0,000,流失客户
279,1,86.25,0,0,0,000,流失客户
145,1,30.69,1,0,0,100,重要客户预警流失客户
113,2,81.68,1,1,0,110,高消费唤醒客户
190,1,339.63,1,0,1,101,频次深耕客户
457,1,205.57,0,0,1,001,新客户
278,1,140.4,0,0,0,000,流失客户
342,1,167.42,0,0,0,000,流失客户
222,1,124.33,0,0,0,000,流失客户
211,1,32.38,1,0,0,100,重要客户预警流失客户
63,1,42.72,1,0,0,100,重要客户预警流失客户
235,1,181.07,0,0,0,000,流失客户
565,1,35.42,0,0,0,000,流失客户
264,1,130.85,0,0,0,000,流失客户
150,1,55.23,1,0,0,100,重要客户预警流失客户
272,2,746.6,0,1,1,011,消费潜力客户
267,1,150.44,0,0,0,000,流失客户
145,4,623.04,1,1,1,111,重要价值客户
376,1,150.56,0,0,0,000,流失客户
79,2,314.92,1,1,1,111,重要价值客户
161,4,704.64,1,1,1,111,重要价值客户
442,1,73.76,0,0,0,000,流失客户
214,1,122.37,1,0,0,100,重要客户预警流失客户
278,1,66.67,0,0,0,000,流失客户
205,1,101.73,1,0,0,100,重要客户预警流失客户
203,1,46.78,1,0,0,100,重要客户预警流失客户
239,2,124.36,0,1,0,010,一般客户
292,1,208.03,0,0,1,001,新客户
581,1,41.68,0,0,0,000,流失客户
305,2,87.08,0,1,0,010,一般客户
231,1,376.26,0,0,1,001,新客户
485,1,187.51,0,0,0,000,流失客户
12,1,63.99,1,0,0,100,重要客户预警流失客户
163,1,212.56,1,0,1,101,频次深耕客户
415,2,125.64,0,1,0,010,一般客户
104,1,47.22,1,0,0,100,重要客户预警流失客户
96,2,67.07,1,1,0,110,高消费唤醒客户
184,1,124.09,1,0,0,100,重要客户预警流失客户
193,1,96.72,1,0,0,100,重要客户预警流失客户
364,1,73.34,0,0,0,000,流失客户
114,1,149.86,1,0,0,100,重要客户预警流失客户
109,1,104.47,1,0,0,100,重要客户预警流失客户
110,1,133.25,1,0,0,100,重要客户预警流失客户
562,3,58.550000000000004,0,1,0,010,一般客户
183,1,46.0,1,0,0,100,重要客户预警流失客户
250,1,37.0,0,0,0,000,流失客户
34,1,258.56,1,0,1,101,频次深耕客户
346,1,818.33,0,0,1,001,新客户
350,2,310.28,0,1,1,011,消费潜力客户
37,1,55.36,1,0,0,100,重要客户预警流失客户
508,1,83.2,0,0,0,000,流失客户
200,1,173.15,1,0,0,100,重要客户预警流失客户
180,1,49.24,1,0,0,100,重要客户预警流失客户
32,1,170.0,1,0,0,100,重要客户预警流失客户
133,2,279.6,1,1,1,111,重要价值客户
3,1,104.34,1,0,0,100,重要客户预警流失客户
389,1,295.7,0,0,1,001,新客户
368,1,70.72,0,0,0,000,流失客户
148,1,46.39,1,0,0,100,重要客户预警流失客户
142,1,199.69,1,0,0,100,重要客户预警流失客户
464,1,114.26,0,0,0,000,流失客户
117,2,98.44,1,1,0,110,高消费唤醒客户
296,1,32.77,0,0,0,000,流失客户
29,1,923.85,1,0,1,101,频次深耕客户
249,1,31.67,0,0,0,000,流失客户
560,1,169.32,0,0,0,000,流失客户
201,1,94.25,1,0,0,100,重要客户预警流失客户
254,1,159.03,0,0,0,000,流失客户
134,1,95.31,1,0,0,100,重要客户预警流失客户
165,2,70.16,1,1,0,110,高消费唤醒客户
264,1,99.34,0,0,0,000,流失客户
342,1,279.04,0,0,1,001,新客户
112,1,109.5,1,0,0,100,重要客户预警流失客户
459,1,143.86,0,0,0,000,流失客户
118,12,69.97,1,1,0,110,高消费唤醒客户
495,1,55.96,0,0,0,000,流失客户
103,1,963.35,1,0,1,101,频次深耕客户
16,1,118.71,1,0,0,100,重要客户预警流失客户
84,1,102.53,1,0,0,100,重要客户预警流失客户
302,1,93.24,0,0,0,000,流失客户
460,1,140.32,0,0,0,000,流失客户
114,2,202.36,1,1,1,111,重要价值客户
335,2,113.56,0,1,0,010,一般客户
107,1,219.77,1,0,1,101,频次深耕客户
277,1,418.04,0,0,1,001,新客户
20,1,288.82,1,0,1,101,频次深耕客户
46,2,495.4,1,1,1,111,重要价值客户
374,1,122.8,0,0,0,000,流失客户
508,1,29.86,0,0,0,000,流失客户
10,1,369.22,1,0,1,101,频次深耕客户
281,2,56.0,0,1,0,010,一般客户
305,1,111.9,0,0,0,000,流失客户
460,1,165.67,0,0,0,000,流失客户
287,1,124.52,0,0,0,000,流失客户
336,2,104.0,0,1,0,010,一般客户
263,2,152.36,0,1,0,010,一般客户
384,1,66.74,0,0,0,000,流失客户
104,1,148.78,1,0,0,100,重要客户预警流失客户
372,1,33.71,0,0,0,000,流失客户
442,1,42.11,0,0,0,000,流失客户
429,1,94.69,0,0,0,000,流失客户
88,1,719.74,1,0,1,101,频次深耕客户
182,1,153.9,1,0,0,100,重要客户预警流失客户
161,1,62.78,1,0,0,100,重要客户预警流失客户
278,1,55.01,0,0,0,000,流失客户
233,1,69.12,0,0,0,000,流失客户
315,1,37.05,0,0,0,000,流失客户
61,1,153.61,1,0,0,100,重要客户预警流失客户
22,1,45.28,1,0,0,100,重要客户预警流失客户
163,1,92.87,1,0,0,100,重要客户预警流失客户
271,1,106.43,0,0,0,000,流失客户
50,1,111.12,1,0,0,100,重要客户预警流失客户
24,4,1404.72,1,1,1,111,重要价值客户
84,1,78.1,1,0,0,100,重要客户预警流失客户
154,1,249.94,1,0,1,101,频次深耕客户
480,1,115.45,0,0,0,000,流失客户
21,1,377.42,1,0,1,101,频次深耕客户
149,1,162.83,1,0,0,100,重要客户预警流失客户
588,2,155.68,0,1,0,010,一般客户
38,1,41.76,1,0,0,100,重要客户预警流失客户
288,1,62.01,0,0,0,000,流失客户
414,1,62.17,0,0,0,000,流失客户
278,1,60.75,0,0,0,000,流失客户
512,1,85.15,0,0,0,000,流失客户
96,2,330.56,1,1,1,111,重要价值客户
237,1,97.74,0,0,0,000,流失客户
488,1,38.79,0,0,0,000,流失客户
123,1,169.07,1,0,0,100,重要客户预警流失客户
464,1,39.62,0,0,0,000,流失客户
244,1,131.16,0,0,0,000,流失客户
198,1,112.53,1,0,0,100,重要客户预警流失客户
183,1,217.0,1,0,1,101,频次深耕客户
362,1,40.09,0,0,0,000,流失客户
161,2,234.92,1,1,1,111,重要价值客户
481,1,79.73,0,0,0,000,流失客户
204,1,177.67,1,0,0,100,重要客户预警流失客户
226,1,62.69,0,0,0,000,流失客户
278,1,665.88,0,0,1,001,新客户
28,1,389.31,1,0,1,101,频次深耕客户
106,1,62.01,1,0,0,100,重要客户预警流失客户
111,1,76.56,1,0,0,100,重要客户预警流失客户
50,2,367.16,1,1,1,111,重要价值客户
124,1,108.21,1,0,0,100,重要客户预警流失客户
229,6,1317.24,0,1,1,011,消费潜力客户
24,1,73.05,1,0,0,100,重要客户预警流失客户
451,1,92.19,0,0,0,000,流失客户
136,1,127.31,1,0,0,100,重要客户预警流失客户
227,1,183.85,0,0,0,000,流失客户
494,1,147.64,0,0,0,000,流失客户
255,1,210.81,0,0,1,001,新客户
82,1,109.64,1,0,0,100,重要客户预警流失客户
369,1,163.69,0,0,0,000,流失客户
500,1,70.7,0,0,0,000,流失客户
142,2,135.56,1,1,0,110,高消费唤醒客户
227,1,56.5,0,0,0,000,流失客户
237,1,195.11,0,0,0,000,流失客户
117,2,125.54,1,1,0,110,高消费唤醒客户
318,1,48.09,0,0,0,000,流失客户
390,1,92.57,0,0,0,000,流失客户
83,1,233.95,1,0,1,101,频次深耕客户
174,1,45.29,1,0,0,100,重要客户预警流失客户
275,2,180.96,0,1,0,010,一般客户
16,1,119.19,1,0,0,100,重要客户预警流失客户
89,1,263.18,1,0,1,101,频次深耕客户
75,1,56.88,1,0,0,100,重要客户预警流失客户
100,1,20.29,1,0,0,100,重要客户预警流失客户
71,1,207.12,1,0,1,101,频次深耕客户
88,1,102.85,1,0,0,100,重要客户预警流失客户
399,1,50.09,0,0,0,000,流失客户
279,1,112.71,0,0,0,000,流失客户
408,1,148.47,0,0,0,000,流失客户
170,2,542.76,1,1,1,111,重要价值客户
25,1,36.46,1,0,0,100,重要客户预警流失客户
61,1,114.91,1,0,0,100,重要客户预警流失客户
229,1,65.11,0,0,0,000,流失客户
176,2,489.2,1,1,1,111,重要价值客户
242,1,230.75,0,0,1,001,新客户
127,1,856.89,1,0,1,101,频次深耕客户
332,1,52.78,0,0,0,000,流失客户
363,1,116.94,0,0,0,000,流失客户
195,2,331.92,1,1,1,111,重要价值客户
400,1,105.29,0,0,0,000,流失客户
296,3,316.40999999999997,0,1,1,011,消费潜力客户
344,1,66.6,0,0,0,000,流失客户
158,2,175.16,1,1,0,110,高消费唤醒客户
438,1,127.92,0,0,0,000,流失客户
258,1,137.08,0,0,0,000,流失客户
357,1,72.45,0,0,0,000,流失客户
159,1,84.19,1,0,0,100,重要客户预警流失客户
60,1,23.19,1,0,0,100,重要客户预警流失客户
106,2,209.52,1,1,1,111,重要价值客户
413,1,62.5,0,0,0,000,流失客户
421,1,61.05,0,0,0,000,流失客户
132,1,103.13,1,0,0,100,重要客户预警流失客户
53,1,32.79,1,0,0,100,重要客户预警流失客户
212,1,105.8,1,0,0,100,重要客户预警流失客户
269,1,154.35,0,0,0,000,流失客户
135,1,566.29,1,0,1,101,频次深耕客户
21,1,87.27,1,0,0,100,重要客户预警流失客户
393,8,7770.4,0,1,1,011,消费潜力客户
233,1,230.75,0,0,1,001,新客户
118,1,142.54,1,0,0,100,重要客户预警流失客户
410,1,65.71,0,0,0,000,流失客户
275,1,44.24,0,0,0,000,流失客户
180,1,37.76,1,0,0,100,重要客户预警流失客户
370,1,116.94,0,0,0,000,流失客户
36,1,87.2,1,0,0,100,重要客户预警流失客户
21,2,317.12,1,1,1,111,重要价值客户
131,4,111.19999999999999,1,1,0,110,高消费唤醒客户
409,1,55.85,0,0,0,000,流失客户
118,1,344.7,1,0,1,101,频次深耕客户
102,1,90.43,1,0,0,100,重要客户预警流失客户
186,1,90.27,1,0,0,100,重要客户预警流失客户
27,1,83.73,1,0,0,100,重要客户预警流失客户
496,1,54.51,0,0,0,000,流失客户
394,3,89.63,0,1,0,010,一般客户
111,5,34.43,1,1,0,110,高消费唤醒客户
296,1,62.01,0,0,0,000,流失客户
177,1,71.53,1,0,0,100,重要客户预警流失客户
425,1,68.12,0,0,0,000,流失客户
395,2,51.05,0,1,0,010,一般客户
310,1,209.4,0,0,1,001,新客户
511,1,139.86,0,0,0,000,流失客户
258,1,288.38,0,0,1,001,新客户
536,1,117.82,0,0,0,000,流失客户
128,1,313.53,1,0,1,101,频次深耕客户
170,2,67.83,1,1,0,110,高消费唤醒客户
9,1,131.38,1,0,0,100,重要客户预警流失客户
270,1,314.21,0,0,1,001,新客户
512,2,135.16,0,1,0,010,一般客户
5,1,77.59,1,0,0,100,重要客户预警流失客户
42,1,766.32,1,0,1,101,频次深耕客户
93,6,73.96000000000001,1,1,0,110,高消费唤醒客户
541,1,117.53,0,0,0,000,流失客户
417,1,48.71,0,0,0,000,流失客户
568,1,40.86,0,0,0,000,流失客户
398,1,146.23,0,0,0,000,流失客户
146,1,21.38,1,0,0,100,重要客户预警流失客户
148,2,695.68,1,1,1,111,重要价值客户
222,1,88.16,0,0,0,000,流失客户
166,3,111.22999999999999,1,1,0,110,高消费唤醒客户
537,1,154.14,0,0,0,000,流失客户
28,1,27.39,1,0,0,100,重要客户预警流失客户
7,1,48.21,1,0,0,100,重要客户预警流失客户
268,1,35.4,0,0,0,000,流失客户
219,1,115.64,0,0,0,000,流失客户
181,2,104.36,1,1,0,110,高消费唤醒客户
323,1,61.01,0,0,0,000,流失客户
262,1,79.98,0,0,0,000,流失客户
399,1,80.67,0,0,0,000,流失客户
237,1,207.57,0,0,1,001,新客户
47,2,108.38,1,1,0,110,高消费唤醒客户
456,1,66.63,0,0,0,000,流失客户
114,2,501.03000000000003,1,1,1,111,重要价值客户
350,1,95.56,0,0,0,000,流失客户
90,1,108.51,1,0,0,100,重要客户预警流失客户
317,1,205.07,0,0,1,001,新客户
134,1,136.6,1,0,0,100,重要客户预警流失客户
98,1,108.68,1,0,0,100,重要客户预警流失客户
162,1,28.73,1,0,0,100,重要客户预警流失客户
184,1,45.08,1,0,0,100,重要客户预警流失客户
100,4,919.21,1,1,1,111,重要价值客户
108,1,57.69,1,0,0,100,重要客户预警流失客户
205,1,220.88,1,0,1,101,频次深耕客户
492,1,332.38,0,0,1,001,新客户
139,1,78.2,1,0,0,100,重要客户预警流失客户
462,1,54.0,0,0,0,000,流失客户
277,1,266.89,0,0,1,001,新客户
4,1,37.37,1,0,0,100,重要客户预警流失客户
30,1,29.4,1,0,0,100,重要客户预警流失客户
166,1,94.39,1,0,0,100,重要客户预警流失客户
537,1,82.25,0,0,0,000,流失客户
190,1,95.31,1,0,0,100,重要客户预警流失客户
23,1,83.56,1,0,0,100,重要客户预警流失客户
293,3,252.0,0,1,1,011,消费潜力客户
193,2,276.28,1,1,1,111,重要价值客户
140,1,184.59,1,0,0,100,重要客户预警流失客户
133,1,35.77,1,0,0,100,重要客户预警流失客户
273,1,77.57,0,0,0,000,流失客户
378,1,37.77,0,0,0,000,流失客户
272,1,47.42,0,0,0,000,流失客户
397,1,1226.84,0,0,1,001,新客户
178,1,123.52,1,0,0,100,重要客户预警流失客户
328,1,88.55,0,0,0,000,流失客户
409,1,137.99,0,0,0,000,流失客户
458,1,52.59,0,0,0,000,流失客户
25,1,265.84,1,0,1,101,频次深耕客户
198,1,32.1,1,0,0,100,重要客户预警流失客户
375,1,172.52,0,0,0,000,流失客户
397,1,84.23,0,0,0,000,流失客户
294,1,58.59,0,0,0,000,流失客户
108,1,20.59,1,0,0,100,重要客户预警流失客户
442,1,53.09,0,0,0,000,流失客户
257,1,88.08,0,0,0,000,流失客户
245,1,157.74,0,0,0,000,流失客户
22,1,117.73,1,0,0,100,重要客户预警流失客户
86,1,16.38,1,0,0,100,重要客户预警流失客户
147,1,31.36,1,0,0,100,重要客户预警流失客户
58,1,39.17,1,0,0,100,重要客户预警流失客户
272,1,72.05,0,0,0,000,流失客户
182,2,201.87,1,1,1,111,重要价值客户
218,3,699.9300000000001,1,1,1,111,重要价值客户
192,1,32.38,1,0,0,100,重要客户预警流失客户
105,1,109.38,1,0,0,100,重要客户预警流失客户
457,1,185.89,0,0,0,000,流失客户
22,1,113.89,1,0,0,100,重要客户预警流失客户
364,1,407.9,0,0,1,001,新客户
183,1,97.01,1,0,0,100,重要客户预警流失客户
153,1,166.62,1,0,0,100,重要客户预警流失客户
369,1,157.32,0,0,0,000,流失客户
82,1,376.39,1,0,1,101,频次深耕客户
397,1,271.43,0,0,1,001,新客户
324,1,75.66,0,0,0,000,流失客户
478,1,84.91,0,0,0,000,流失客户
324,3,72.14,0,1,0,010,一般客户
492,1,38.86,0,0,0,000,流失客户
406,1,146.47,0,0,0,000,流失客户
382,2,183.56,0,1,0,010,一般客户
21,1,179.12,1,0,0,100,重要客户预警流失客户
127,1,84.13,1,0,0,100,重要客户预警流失客户
301,1,44.0,0,0,0,000,流失客户
509,1,33.47,0,0,0,000,流失客户
66,1,48.21,1,0,0,100,重要客户预警流失客户
106,1,31.28,1,0,0,100,重要客户预警流失客户
408,1,27.38,0,0,0,000,流失客户
536,1,171.63,0,0,0,000,流失客户
323,1,145.58,0,0,0,000,流失客户
413,1,108.1,0,0,0,000,流失客户
12,1,67.44,1,0,0,100,重要客户预警流失客户
310,3,429.65999999999997,0,1,1,011,消费潜力客户
104,1,90.93,1,0,0,100,重要客户预警流失客户
449,1,53.0,0,0,0,000,流失客户
9,1,52.85,1,0,0,100,重要客户预警流失客户
144,1,30.77,1,0,0,100,重要客户预警流失客户
145,1,81.04,1,0,0,100,重要客户预警流失客户
183,1,51.78,1,0,0,100,重要客户预警流失客户
8,1,73.29,1,0,0,100,重要客户预警流失客户
167,1,492.08,1,0,1,101,频次深耕客户
218,3,455.45,1,1,1,111,重要价值客户
76,1,94.0,1,0,0,100,重要客户预警流失客户
268,1,267.99,0,0,1,001,新客户
194,1,31.75,1,0,0,100,重要客户预警流失客户
378,1,66.78,0,0,0,000,流失客户
339,1,105.28,0,0,0,000,流失客户
244,2,185.07,0,1,0,010,一般客户
289,1,156.22,0,0,0,000,流失客户
122,1,85.05,1,0,0,100,重要客户预警流失客户
519,1,80.56,0,0,0,000,流失客户
63,1,468.24,1,0,1,101,频次深耕客户
32,1,50.24,1,0,0,100,重要客户预警流失客户
112,1,87.43,1,0,0,100,重要客户预警流失客户
104,1,162.21,1,0,0,100,重要客户预警流失客户
278,1,120.98,0,0,0,000,流失客户
575,1,48.45,0,0,0,000,流失客户
452,1,166.67,0,0,0,000,流失客户
393,1,64.75,0,0,0,000,流失客户
173,1,106.85,1,0,0,100,重要客户预警流失客户
160,1,168.03,1,0,0,100,重要客户预警流失客户
447,1,48.09,0,0,0,000,流失客户
209,1,866.34,1,0,1,101,频次深耕客户
365,1,122.49,0,0,0,000,流失客户
231,1,89.88,0,0,0,000,流失客户
262,1,669.98,0,0,1,001,新客户
474,1,97.8,0,0,0,000,流失客户
155,1,535.03,1,0,1,101,频次深耕客户
457,2,421.12,0,1,1,011,消费潜力客户
135,1,73.39,1,0,0,100,重要客户预警流失客户
329,1,32.22,0,0,0,000,流失客户
374,1,60.34,0,0,0,000,流失客户
147,1,26.38,1,0,0,100,重要客户预警流失客户
171,1,361.25,1,0,1,101,频次深耕客户
305,1,28.41,0,0,0,000,流失客户
162,1,101.64,1,0,0,100,重要客户预警流失客户
366,1,228.87,0,0,1,001,新客户
551,1,77.84,0,0,0,000,流失客户
348,1,34.09,0,0,0,000,流失客户
259,1,225.22,0,0,1,001,新客户
249,1,40.09,0,0,0,000,流失客户
203,1,188.5,1,0,0,100,重要客户预警流失客户
177,1,94.3,1,0,0,100,重要客户预警流失客户
428,1,137.99,0,0,0,000,流失客户
61,1,561.66,1,0,1,101,频次深耕客户
341,1,130.16,0,0,0,000,流失客户
187,2,417.56,1,1,1,111,重要价值客户
342,1,103.75,0,0,0,000,流失客户
226,1,631.71,0,0,1,001,新客户
474,1,57.77,0,0,0,000,流失客户
287,1,34.29,0,0,0,000,流失客户
13,1,57.1,1,0,0,100,重要客户预警流失客户
18,1,76.55,1,0,0,100,重要客户预警流失客户
179,1,155.62,1,0,0,100,重要客户预警流失客户
425,1,86.81,0,0,0,000,流失客户
134,1,80.11,1,0,0,100,重要客户预警流失客户
100,1,165.9,1,0,0,100,重要客户预警流失客户
353,1,81.89,0,0,0,000,流失客户
